2025-01-09 21:24:14 +0000,2025-01-09 21:24:14 +0000,68
2025-01-09 21:24:19 +0000,2025-01-09 21:24:19 +0000,68
2025-01-09 21:24:24 +0000,2025-01-09 21:24:24 +0000,69
2025-01-09 21:24:26 +0000,2025-01-09 21:24:26 +0000,70
2025-01-09 21:24:32 +0000,2025-01-09 21:24:32 +0000,69
2025-01-09 21:24:36 +0000,2025-01-09 21:24:36 +0000,68
2025-01-09 21:24:41 +0000,2025-01-09 21:24:41 +0000,69
2025-01-09 21:24:49 +0000,2025-01-09 21:24:49 +0000,72
2025-01-09 21:24:50 +0000,2025-01-09 21:24:50 +0000,73
2025-01-09 21:24:57 +0000,2025-01-09 21:24:57 +0000,70
2025-01-09 21:25:03 +0000,2025-01-09 21:25:03 +0000,69
2025-01-09 21:25:05 +0000,2025-01-09 21:25:05 +0000,69
2025-01-09 21:25:14 +0000,2025-01-09 21:25:14 +0000,68
2025-01-09 21:25:17 +0000,2025-01-09 21:25:17 +0000,68
2025-01-09 21:25:20 +0000,2025-01-09 21:25:20 +0000,68
2025-01-09 21:25:29 +0000,2025-01-09 21:25:29 +0000,75
2025-01-09 21:25:34 +0000,2025-01-09 21:25:34 +0000,75
