2025-01-03 18:26:47 +0000,2025-01-03 18:26:47 +0000,120
2025-01-03 18:26:56 +0000,2025-01-03 18:26:56 +0000,137
2025-01-03 18:26:58 +0000,2025-01-03 18:26:58 +0000,136
2025-01-03 18:27:05 +0000,2025-01-03 18:27:05 +0000,136
2025-01-03 18:27:07 +0000,2025-01-03 18:27:07 +0000,138
2025-01-03 18:27:12 +0000,2025-01-03 18:27:12 +0000,141
2025-01-03 18:27:18 +0000,2025-01-03 18:27:18 +0000,140
2025-01-03 18:27:24 +0000,2025-01-03 18:27:24 +0000,143
2025-01-03 18:27:28 +0000,2025-01-03 18:27:28 +0000,141
2025-01-03 18:27:32 +0000,2025-01-03 18:27:32 +0000,141
2025-01-03 18:27:40 +0000,2025-01-03 18:27:40 +0000,139
2025-01-03 18:27:42 +0000,2025-01-03 18:27:42 +0000,136
2025-01-03 18:27:50 +0000,2025-01-03 18:27:50 +0000,139
2025-01-03 18:27:55 +0000,2025-01-03 18:27:55 +0000,130
2025-01-03 18:27:57 +0000,2025-01-03 18:27:57 +0000,129
2025-01-03 18:28:05 +0000,2025-01-03 18:28:05 +0000,137
2025-01-03 18:28:10 +0000,2025-01-03 18:28:10 +0000,140
2025-01-03 18:28:15 +0000,2025-01-03 18:28:15 +0000,140
